Location,Land_use_zoning,Builder_Type,Finish_Build,Builder_Pings,Total_Price
813,B,F,950410,23,4000000
813,H,F,891019,48,8200000
813,B,F,941012,34,5250000
813,H,F,870217,37,6700000
813,H,F,880616,53,8800000
813,H,F,830601,87,12500000
811,B,F,951016,40,4200000
813,B,F,1011004,70,17700000
811,H,F,830628,35,3200000
813,H,F,841013,41,5800000
811,H,F,1011225,46,5600000
811,H,F,1030626,56,7680000
811,H,F,1030626,52,6900000
811,H,F,1030626,56,7560000
811,H,F,830201,42,4000000
811,B,F,1020531,42,6390000
830,H,F,1010605,49,5000000
830,B,F,850105,35,2500000
830,H,F,840608,45,4500000
814,B,F,1030319,60,11500000
814,H,F,1040724,37,5760000
814,H,F,1031230,45,9400000
814,H,F,1031230,35,7100000
831,H,F,821231,36,2320000
831,H,F,840703,38,2400000
802,B,F,770209,105,13800000
813,H,F,801213,54,7400000
820,H,F,830810,38,3600000
829,H,F,840321,34,1850000
815,H,F,830128,41,3200000
830,H,F,1030529,94,22100000
811,H,F,940818,36,4950000
811,H,F,970912,23,3200000
811,H,F,811210,39,4620000
813,H,F,960716,39,5000000
813,H,F,1000916,41,6600000
813,H,F,841013,41,2898209
811,H,F,1040216,37,6720000
811,H,F,1040216,37,7380000
813,O,F,741129,33,2950000
813,H,F,870319,34,5400000
807,H,F,860419,53,6500000
807,H,F,850719,27,3780000
807,H,F,860124,42,6700000
807,B,F,820114,32,4020000
807,H,F,821006,52,6150000
807,B,F,861211,37,5400000
807,H,F,880625,49,7360000
806,H,F,991221,42,7750000
800,H,F,860120,46,8520000
802,B,F,710226,31,3850000
804,H,F,940202,52,9900000
804,B,F,941110,30,6050000
804,B,F,1001007,23,5400000
804,B,F,880930,23,4380000
804,B,F,950220,48,9650000
804,H,F,950809,17,3430000
802,B,F,701205,26,3500000
802,H,F,810125,64,10650000
802,B,F,770115,58,11000000
806,B,F,940504,32,6400000
812,H,F,830629,53,3800000
807,H,F,801108,90,12800000
807,H,F,1010208,46,9200000
807,H,F,800225,48,6500000
807,H,F,860709,37,4200000
807,H,F,820522,49,5300000
807,H,F,850626,42,5050000
807,B,F,890216,40,4800000
807,B,F,691223,29,4260000
813,B,F,870804,49,4300000
813,H,F,930519,31,7000000
811,B,F,1030509,43,7120000
830,H,F,900210,32,5700000
830,H,F,1010801,41,6050000
830,H,F,820622,37,4680000
830,B,F,840510,48,5500000
814,H,F,1040724,36,5370000
814,H,F,1040724,36,5470000
814,H,F,1040724,39,5880000
807,H,F,820703,22,3000000
807,H,F,820902,33,3800000
807,¤u,F,830208,29,2200000
831,H,F,840217,32,2300000
822,H,F,840627,35,3000000
814,H,F,1040724,39,5870000
814,H,F,1040724,31,4650000
814,H,F,1040724,30,4910000
814,H,F,1040724,23,3400000
814,H,F,1040724,23,3430000
814,H,F,1040724,24,3920000
814,H,F,1040724,24,3980000
814,H,F,861220,40,2000000
830,H,F,1020626,48,6320000
830,H,F,1020626,40,5800000
