Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
25.2,24,58,26,56,-6.02,0.87,-5.15,101,106.7,105.2,0.324,0.019,0.525,0.478,16.6,30.4,0.243,0.506,16.4,69.2,0.281,phaseout
24.3,21,61,24,58,-6.32,0.74,-5.58,98.1,104.3,101.2,0.334,0.012,0.51,0.464,18,33.4,0.242,0.512,18.6,65.9,0.242,phaseout
25.1,28,54,26,56,-5.89,-0.1,-5.99,103.4,109.4,97.7,0.305,0.024,0.536,0.491,15.5,28.3,0.234,0.492,13.8,66.8,0.268,phaseout
24.8,15,67,20,62,-8.4,0.07,-8.33,102.4,110.8,98.6,0.359,0.024,0.519,0.466,15.2,30.7,0.27,0.516,15.1,65,0.245,phaseout
27.3,63,19,57,25,6.38,-0.03,6.35,109.8,103.5,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,0.472,14.6,67.6,0.22,Promotion
28.1,58,24,56,26,5.73,0,5.74,109.6,103.9,100.6,0.354,0.02,0.566,0.521,15.5,30.5,0.265,0.48,16.5,65,0.261,Promotion
27.3,55,27,55,27,5.48,-0.1,5.38,107.7,102.3,100,0.332,0.023,0.553,0.509,16.5,35.1,0.25,0.471,15.9,67.3,0.253,Promotion
26.8,57,25,53,29,4.87,-0.5,4.37,110.2,105.5,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187,LeagueChampion
26.4,52,30,52,30,4.13,-0.45,3.69,106.4,102.3,100,0.329,0.021,0.535,0.491,14.1,31.3,0.243,0.464,14.4,67.2,0.214,Promotion
26.4,46,36,50,32,3.45,-0.4,3.05,105.8,102.4,99.5,0.302,0.024,0.538,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233,Promotion
26.1,48,34,47,35,2.3,-0.52,1.79,109.9,107.6,102.5,0.307,0.033,0.537,0.49,13,34,0.238,0.487,13.7,68.8,0.256,Promotion
26,43,39,43,39,0.88,0.19,1.06,103.3,102.5,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.227,0.468,13.9,69.9,0.228,Promotion
25.1,44,38,43,39,0.68,0.18,0.87,103,102.3,103.1,0.326,0.02,0.529,0.487,16.6,33.7,0.237,0.486,18.3,67,0.281,Promotion
26.5,42,40,43,39,0.54,0.27,0.81,105.1,104.6,95.1,0.352,0.019,0.529,0.476,14.6,32.2,0.271,0.473,15.6,67.6,0.282,Promotion
25.1,45,37,44,38,1.04,-0.24,0.8,108.8,107.7,101.4,0.324,0.044,0.541,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256,Phaseout
24.7,42,40,43,39,0.6,-0.21,0.39,108.8,108.2,100.5,0.332,0.019,0.547,0.507,14.4,32.5,0.239,0.502,15,65.9,0.223,Phaseout
27,46,36,42,40,0.52,-0.4,0.13,114.3,113.9,109.8,0.389,0.019,0.578,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213,Promotion
28.3,46,36,41,41,-0.04,-0.36,-0.39,108.3,108.3,97.2,0.302,0.024,0.52,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209,Promotion
24.4,39,43,39,43,-0.91,0.28,-0.63,105.8,106.6,104.3,0.349,0.029,0.534,0.485,16,34.8,0.262,0.512,16.4,66.9,0.224,Phaseout
